CHADS-Vasc,Weighted Patients,Weighted Patient Years,Weighted Stroke Rate,95% CI Lower,95% CI Upper,Original Stroke Rate,Original Rate Within CI
0,24800.59387770097,163652.9899613947,0.09931822039739989,0.11871133508585818,0.19635616408754583,0.2,False
1,31432.3468705005,197363.17020248735,0.15217584604443668,0.18017772740195162,0.21943401264960286,0.6,False
2,21721.257624927784,128976.15383851327,0.3818945182169258,0.34757427428789767,0.41613984353756445,2.2,False
3,13621.035258613203,73920.69308252592,0.7327346759384598,0.4912400088913488,0.5659984032756125,3.2,False
4,6655.149131663637,32769.67296686338,1.2446080541686655,0.5842101574402625,0.6718393433726236,4.8,False
5,1423.3297829907667,6486.737292096435,3.8978660265565757,0.7509974706436662,0.8562890558963174,7.2,False
6,290.263382339033,1213.2617892385006,10.469715641890827,1.0304318818345657,1.3932096719528466,9.7,False
7,40.0587296730957,153.2674615216332,13.220810213348456,0.5554224026949749,0.8263747827859239,11.2,False
8,3.8326641542454585,16.48838778243779,12.759442745294457,0.2238497404980344,0.4793253929993325,10.8,False
9,0.08017856142141463,0.2969967216558288,13.923011024697619,0.058132807242708015,0.18983061795084608,12.2,False
