CHADS-Vasc,Weighted Patients,Weighted Patient Years,Weighted Stroke Rate,95% CI Lower,95% CI Upper,Original Stroke Rate,Original Rate Within CI
0,24800.59387770097,163652.9899613947,0.09931822039739989,0.1231453545108874,0.18168174843910445,0.2,False
1,31432.3468705005,197363.17020248735,0.15217584604443668,0.18237100654476268,0.2157164523628305,0.6,False
2,21721.257624927784,128976.15383851327,0.3818945182169258,0.35683367023533646,0.41398501941755467,2.2,False
3,13621.035258613203,73920.69308252592,0.7327346759384598,0.46933692870234756,0.5662192369971548,3.2,False
4,6655.149131663637,32769.67296686338,1.2446080541686655,0.561713428500261,0.66805519321107,4.8,False
5,1423.3297829907667,6486.737292096435,3.8978660265565757,0.7762423840234405,0.8976267161460607,7.2,False
6,290.263382339033,1213.2617892385006,10.469715641890827,1.070493014185111,1.3965704942267263,9.7,False
7,40.0587296730957,153.2674615216332,13.220810213348456,0.5993701670452647,0.890922811793372,11.2,False
8,3.8326641542454585,16.48838778243779,12.759442745294457,0.24713495547055456,0.5418015022181446,10.8,False
9,0.08017856142141463,0.2969967216558288,13.923011024697619,0.026693694387699737,0.2771829211558364,12.2,False
